orig,parsed,arpabet_name,unmapped
Aab3.wav,Aab/3,AA-AA-B3_5.wav,
Bing2.wav,Bing/2,B-IY-NG2_5.wav,
Lan1.wav,Lan/1,L-AA-N1_5.wav,
Len2.wav,Len/2,L-EH-N2_5.wav,
Lu1i2.wav,Lu/1;i/2,L-UH1_IY2_5.wav,
Mam3.wav,Mam/3,M-AA-M2_5.wav,
N2_3.wav,N/2,N2_6.wav,
Nug3.wav,Nug/3,N-UW-G3_5.wav,
Pa2a2.wav,Pa/2,P-AA2_5.wav,
Pa2a2.wav,Pa/2;a/2,P-AA2_AA2_5.wav,
Rab3.wav,Rab/3,R-AA-B3_5.wav,
Gan1.wav,Gan/1,R-AA-N1_5.wav,
Sentence 6.wav,Sentence/2,SENTENCE6_6.wav,
Sentence 6.wav,Sentence/2,SENTENCE6_7.wav,
Yo1aab3.wav,Yo/1,Y-OW1_5.wav,
Yo1aab3.wav,Yo/1;aab/3,Y-OW1_AA-AA-B3_5.wav,
