orig,parsed,arpabet_name,unmapped
aand3.wav,aand/3,AA-AA-N-D3_1.wav,
Bre2.wav,Bre/2,B-R-EY2_1.wav,
Lam3 Practice_1_EXPRESSION_EN_MOORE_MADAME_ZONGO_mono.unknown.wav,Lam/3,L-AA-M3_1.wav,
Men3 (me3).wav,Men/3,M-AE-N3_1.wav,
Ra3.wav,Ra/3,R-AA3_2.wav,
1.wav,,RA3_1.wav,
San2.wav,San/2,S-AA-N2_1.wav,
Sentence 1.wav,Sentence/2,SENTENCE1_1.wav,
Ti3 Practice_1_EXPRESSION_EN_MOORE_MADAME_ZONGO_mono.unknown.wav,Ti/3,T-IH3_1.wav,
Ti3 Practice_1_EXPRESSION_EN_MOORE_MADAME_ZONGO_mono.unknown.wav,Ti/3,T-IY2_1.wav,
Wan.wav,Wan/2,W-AA-N2_1.wav,
Wa1a3.wav,Wa/1;a/3,W-AA3_AA3_1.wav,
Wusg2.wav,Wusg/2,W-UW-S-G2_1.wav,
Ye1e1 Practice_1_EXPRESSION_EN_MOORE_MADAME_ZONGO_mono.unknown.wav,Ye/1;e/1,Y-EY1_EY1_1.wav,
Yi3.wav,Yi/3,Y-IY3_1.wav,
Za1a1 (zaabre0.wav,Za/1;a/1,Z-AA1_AA1_1.wav,
Za1a1 (zaabre0.wav,Za/1;a/1,Z-AA1_AA2_1.wav,
